ID;Ocupacao_Profissao;Categoria_Segmento;Classificacao_Funcional;Cor_Segmento;Fonte_Rastreio_Dados_Publicos;Descricao_Oportunidade_PRX_Capital
11;Dirigente, Presidente e Diretor de Empresa Industrial ou Comercial (CEO/CFO);Executivos C-Level;Empresário / Diretor C-Level (B2B);🟡 Amarelo Dourado;QSA da Receita Federal + LinkedIn Corporativo / Juntas Comerciais;Consultoria econômica completa, otimização de tesouraria bancária, recuperação fiscal 100% no êxito e holding dos sócios.
12;Produtor na Exploração Agropecuária (Fazendeiro / Pecuarista PJ);Agronegócio;Produtor Rural / PJ Agropecuária;🟢 Verde Esmeralda;CAR (Cadastro Ambiental Rural) / QSA Receita + LinkedIn;Planejamento sucessório do agro, estruturação de CPRs, barter, crédito rural com taxa subsidiada e holding rural.
13;Advogado Sócio de Banca de Advocacia (Sociedade de Advogados PJ);Jurídico Privado;Profissional Liberal / Sociedade de Advogados PJ;🔵 Azul Marinho;Cadastro Nacional dos Advogados (CNA/OAB) + QSA Receita;Estruturação societária de bancas, antecipação de honorários judiciais/precatórios e holding patrimonial.
14;Engenheiro e Arquiteto (Construtoras, Incorporadoras e SPEs PJ);Engenharia & Construção;Empresário / PJ de Engenharia;🔷 Índigo;CREA / CAU + QSA Receita Federal / LinkedIn;Regime Especial de Tributação (RET) para incorporações, financiamento de obras e antecipação de recebíveis imobiliários.
15;Servidor das Carreiras do Poder Judiciário (Analista Judiciário / Oficial);Público / Judiciário;Concursado / Judiciário Federal/Estadual;🟣 Roxo Real;Portal da Transparência Tribunais + LinkedIn;Previdência complementar Funpresp-Jud, gestão de investimentos indexados à inflação e sucessão familiar.
16;Cantor, Compositor e Produtor Musical (Editoras e Produtoras PJ);Artes & Entretenimento;Profissional Liberal / PJ Artística;🟠 Laranja;Ecad / CNPJ Produtora + LinkedIn / Divulgação Pública;Estruturação de contratos de cessão de direitos autorais em PJ, planejamento fiscal de turnês e fundos patrimoniais.
17;Ator e Diretor de Espetáculos Audiovisuais (Produtoras PJ);Artes & Entretenimento;Profissional Liberal / PJ Audiovisual;🟠 Laranja;Ancine / QSA Receita Federal + LinkedIn;Gestão patrimonial de contratos de streaming e publicidade, incentivos fiscais e holding de imagem.
18;Professor Titular de Ensino Superior e Pesquisador Doutor;Educação & Pesquisa;Concursado / Docência Universitária;🟤 Verde Azulado (Teal);Plataforma Lattes / Portais Universitários + LinkedIn;Gestão previdenciária de longo prazo, fundos imobiliários e carteira com proteção contra inflação.
19;Servidor das Carreiras do Poder Legislativo (Senado e Câmara dos Deputados);Público / Legislativo;Concursado / Analista Legislativo;🟣 Roxo Real;Portal da Transparência Senado/Câmara + LinkedIn;Planejamento sucessório, previdência fechada e estruturação patrimonial familiar.
20;Economista, Administrador e Auditor (Empresas de Consultoria & BPO PJ);Finanças & Consultoria;Profissional Liberal / PJ de Consultoria;🔵 Azul Marinho;Corecon / CFA + QSA Receita / LinkedIn;Parcerias de BPO financeiro, auditoria tributária mútua e intermediação de M&A corporativo.
21;Agrônomo e Consultor Agrícola (Empresas de Consultoria Agro PJ);Agronegócio;Profissional Liberal / Consultoria Agro PJ;🟢 Verde Esmeralda;CREA / QSA Receita Federal + LinkedIn;Consultoria tributária para insumos agrícolas, crédito rural estruturado e holding familiar.
22;Servidor das Carreiras do Ministério Público (Analistas do MPF/MPE);Público / Ministério Público;Concursado / MP;🟣 Roxo Real;Portal da Transparência MP + LinkedIn;Previdência complementar fechada, fundos exclusivos e proteção patrimonial segura.
23;Físico, Químico e Pesquisador Tecnológico (Institutos de P&D PJ);Ciências & Tecnologia;Profissional Liberal / PJ de Tecnologia;🔷 Índigo;CRQ / Plataforma Lattes + QSA Receita / LinkedIn;Gestão de patentes e royalties tecnológicos, investimentos em inovação e previdência.
24;Presidente e Diretor de Organismo Internacional e Grandes Fundações;Executivos C-Level;Diretoria Institucional / Terceiro Setor;🟡 Amarelo Dourado;Portais Institucionais Oficiais + LinkedIn Corporativo;Gestão tributária internacional, fundos patrimoniais (endowments) e compliance.
25;Gerente e Supervisor Corporativo de Grande Indústria ou Comércio;Executivos C-Level;Empresário / Gestão Corporativa;🟡 Amarelo Dourado;LinkedIn Corporativo + QSA Receita;Otimização de bônus/PLR executivo, previdência PGBL/VGBL e assessoria de investimentos.
26;Membro do Poder Executivo (Presidente, Ministros, Governadores, Prefeitos);Público / Executivo;Mandato Eletivo / Agente Político;🟣 Roxo Real;DivulgaCandContas / Portal da Transparência + Diário Oficial;Blindagem patrimonial em estrita conformidade (blind trusts), compliance e holding familiar.
27;Delegado de Polícia Civil e Federal, Perito Criminal;Público / Segurança;Concursado / Segurança Pública;🟣 Roxo Real;Portal da Transparência Polícia Federal/Civil + LinkedIn;Seguros de vida para atividades de risco, previdência especial e holding imobiliária.
28;Sociólogo e Cientista Político (Institutos de Análise e Pesquisa PJ);Ciências Sociais;Profissional Liberal / PJ de Pesquisa;🟤 Verde Azulado (Teal);Portais de Institutos de Pesquisa + LinkedIn;Planejamento financeiro de receitas por projetos e previdência privada.
29;Gestor Governamental e Analista de Planejamento e Orçamento (EPPGG);Público / Gestão Pública;Concursado / Alta Gestão Federal;🟣 Roxo Real;Portal da Transparência MGI/Planejamento + LinkedIn;Gestão patrimonial de carreira executiva pública, previdência complementar e fundos.
30;Presidente e Diretor de Sociedade de Economia Mista e Estatal (Petrobras, BB);Público / Estatais;Diretoria Estatutária / Concursado;🟣 Roxo Real;Portal de RI da Estatal / CVM + LinkedIn;Gestão de remuneração estatutária, fundos de previdência fechada (Petros/Previ) e fundos exclusivos.
31;Atuário, Matemático e Estatístico (Consultorias Atuariais PJ);Finanças & Consultoria;Profissional Liberal / Consultoria PJ;🔵 Azul Marinho;IBA (Instituto Brasileiro de Atuária) + QSA / LinkedIn;Estruturação de investimentos quantitativos, previdência privada e fundos imobiliários.
32;Designer de Interiores e Cenógrafo (Escritórios de Arquitetura & Design PJ);Design & Arquitetura;Profissional Liberal / Escritório de Design PJ;🟠 Laranja;ABD / QSA Receita Federal + LinkedIn;Tributação em Lucro Presumido vs Simples, antecipação de recebíveis e holding patrimonial.
33;Pesquisador das Carreiras de Ciência e Tecnologia (Embrapa, Inpe, Fiocruz);Público / C&T;Concursado / Pesquisa Pública;🟣 Roxo Real;Portal da Transparência Embrapa/Fiocruz + Lattes / LinkedIn;Gestão de patentes públicas, previdência fechada e investimentos de renda fixa segura.
34;Gerente e Superintendente de Empresas Estatais e Bancos Públicos;Público / Estatais;Concursado / Gestão de Estatal;🟣 Roxo Real;Portais das Estatais + LinkedIn Corporativo;Otimização de bônus de desempenho e previdência fechada.
35;Filósofo e Acadêmico Escritor;Ciências Humanas;Profissional Liberal / Docente;🟤 Verde Azulado (Teal);Plataforma Lattes / Portais Acadêmicos + LinkedIn;Planejamento de reservas financeiras e gestão de direitos de publicação.
36;Técnico Especialista em Navegação Aérea e Metroferroviária;Aviação & Transportes;Profissional Liberal / Corporativo;🩵 Ciano / Azul Claro;ANAC / Decea + LinkedIn;Planejamento de aposentadoria e seguros patrimoniais.
37;Odontólogo e Cirurgião Dentista (Clínicas Odontológicas PJ & Redes);Saúde & Medicina;Profissional Liberal / Clínicas Odonto PJ;🩷 Rosa / Pink;CFO / CRO + QSA Receita Federal / LinkedIn;Equiparação hospitalar para clínicas com procedimentos cirúrgicos e holding médica/odontológica.
38;CTO, Arquiteto de Software e Desenvolvedor Sênior (Software Houses PJ);Tecnologia & Devs;Profissional Liberal / PJ Tech & Inovação;🔷 Índigo;GitHub / LinkedIn Corporativo + QSA Receita;Remuneração em moeda estrangeira (USD/EUR), planejamento tributário internacional e stock options.
39;Sócio e Diretor de Agência de Publicidade e Marketing de Performance PJ;Marketing & Growth;Profissional Liberal / Agência de Publicidade PJ;🔴 Coral / Rose;CENP / QSA Receita Federal + LinkedIn;Recuperação de retenções fiscais na fonte (PIS/COFINS/CSLL/IRRF) e antecipação de contratos.
40;Oficial da Força Aérea Brasileira (Piloto Militar e Brigadeiro);Militar & Forças Armadas;Concursado / Oficial Militar FAB;⚪ Cinza / Slate;Diário Oficial da União / FAB + LinkedIn;Previdência militar complementar, pensões e gestão patrimonial de longo prazo.
41;Antropólogo e Arqueólogo Consultor;Ciências Humanas;Profissional Liberal / Consultoria;🟤 Verde Azulado (Teal);Plataforma Lattes / Iphan + LinkedIn;Planejamento financeiro de contratos e consultorias de impacto ambiental.
42;Jornalista Âncora e Repórter Especial (Empresas de Comunicação PJ);Artes & Entretenimento;Profissional Liberal / PJ de Comunicação;🟠 Laranja;Fenaj / QSA Receita Federal + LinkedIn / Mídia;Planejamento de contratos PJ com emissoras, holding patrimonial e proteção de marca pessoal.
43;Médico Veterinário (Hospitais Veterinários & Fazendas PJ);Saúde & Medicina;Profissional Liberal / Hospitais Vet PJ;🩷 Rosa / Pink;CFMV / CRMV + QSA Receita Federal / LinkedIn;Otimização tributária de hospitais veterinários e serviços agropecuários especializados.
44;Assessor de Investimentos e Agente Autônomo (Empresas de Assessoria PJ);Finanças & Consultoria;Profissional Liberal / Escritório de Investimentos PJ;🔵 Azul Marinho;Ancord / CVM + QSA Receita Federal / LinkedIn;Parcerias de co-assessoria em Multi-Family Office, fundos exclusivos e corporate finance.
45;Professor e Diretor de Escolas e Ensino Profissionalizante;Educação & Pesquisa;Profissional Liberal / Escolas PJ;🟤 Verde Azulado (Teal);MEC / QSA Receita Federal + LinkedIn;Planejamento de reservas e fundos imobiliários educacionais.
46;Oficial Superior e Almirante da Marinha do Brasil;Militar & Forças Armadas;Concursado / Oficial Militar Marinha;⚪ Cinza / Slate;Diário Oficial da União / Marinha + LinkedIn;Gestão patrimonial familiar e previdência militar de carreira.
47;Oficial Comandante do Corpo de Bombeiros Militar;Militar & Forças Armadas;Concursado / Oficial Militar Estadual;⚪ Cinza / Slate;Diário Oficial do Estado + LinkedIn;Seguros de vida específicos e acumulação financeira segura.
48;Oficial Superior e General do Exército Brasileiro;Militar & Forças Armadas;Concursado / Oficial Militar Exército;⚪ Cinza / Slate;Diário Oficial da União / Exército + LinkedIn;Planejamento sucessório militar e carteira imobiliária.
49;Psicanalista e Terapeuta (Clínicas Integradas PJ);Saúde & Medicina;Profissional Liberal / Clínicas de Saúde Mental PJ;🩷 Rosa / Pink;Conselhos de Psicanálise / QSA Receita + LinkedIn;Transição de Livro Caixa para PJ, tributação simplificada e previdência.
50;Escritor e Autor Best-Seller (Editoras e Produção de Conteúdo PJ);Artes & Entretenimento;Profissional Liberal / PJ de Direitos Autorais;🟠 Laranja;CBL (Câmara Brasileira do Livro) + QSA / LinkedIn;Gestão de royalties literários e planejamento de direitos autorais no exterior.
51;Geógrafo e Especialista em Geoprocessamento (Empresas de Topografia PJ);Ciências da Terra;Profissional Liberal / Consultoria de Geoprocessamento PJ;🟤 Verde Azulado (Teal);CREA / QSA Receita Federal + LinkedIn;Planejamento financeiro de contratos corporativos e investimentos imobiliários.
52;Membro do Poder Legislativo (Senador, Deputado Federal e Estadual);Público / Legislativo;Mandato Eletivo / Agente Político;🟣 Roxo Real;DivulgaCandContas / Portal da Transparência + Diário Oficial;Blindagem de ativos em conformidade com a legislação eleitoral e holding familiar.
53;Bibliotecário e Gestor de Centros de Documentação;Cultura & Patrimônio;Concursado / Institucional;🟤 Verde Azulado (Teal);CRB / Portais Institucionais + LinkedIn;Planejamento financeiro conservador e previdência privada.
54;Historiador e Pesquisador do Patrimônio Histórico;Ciências Humanas;Concursado / Institucional;🟤 Verde Azulado (Teal);Plataforma Lattes / Iphan + LinkedIn;Investimentos em renda fixa indexada ao IPCA e previdência.
55;Oficial Comandante e Coronel da Polícia Militar;Militar & Forças Armadas;Concursado / Oficial Militar Estadual;⚪ Cinza / Slate;Diário Oficial do Estado / PM + LinkedIn;Previdência especial e planejamento financeiro familiar seguro.
56;Locutor, Dublador e Comentarista de Mídia (Estúdios de Áudio PJ);Artes & Entretenimento;Profissional Liberal / Estúdios de Mídia PJ;🟠 Laranja;Sindicato dos Radialistas / QSA Receita + LinkedIn;Planejamento tributário PJ e proteção de marca pessoal.
57;Tradutor Juramentado e Intérprete Internacional (Empresas de Tradução PJ);Linguística & Serviços;Profissional Liberal / Junta Comercial (CNPJ);🟤 Verde Azulado (Teal);Juntas Comerciais Estaduais + LinkedIn;Recebimento de receitas em moeda forte e elisão fiscal internacional.
58;Produtor Cultural e Produtor Executivo de Espetáculos (Produtoras PJ);Artes & Entretenimento;Profissional Liberal / Produtoras Culturais PJ;🟠 Laranja;Salic / Ancine + QSA Receita / LinkedIn;Aproveitamento fiscal da Lei Rouanet/PERSE e estruturação societária de produtoras.
59;Regente de Orquestra, Músico Erudito e Arranjador;Artes & Entretenimento;Profissional Liberal / Orquestras;🟠 Laranja;Sindicato dos Músicos / Teatros Municipais + LinkedIn;Gestão patrimonial e planejamento de direitos autorais de partituras.
60;Agente, Corretor e Representante Comercial (Empresas de Representação PJ);Comércio & Representação;Profissional Liberal / Empresas de Representação PJ;🟡 Amarelo Dourado;Corecon / Confere + QSA Receita / LinkedIn;Equiparação tributária de comissões, antecipação de recebíveis e holding patrimonial.
61;Biomédico e Bioquímico (Laboratórios de Análises Clínicas PJ);Saúde & Medicina;Profissional Liberal / Laboratórios Clínicos PJ;🩷 Rosa / Pink;CRBM / CFM + QSA Receita Federal / LinkedIn;Equiparação hospitalar para laboratórios de diagnóstico e holding médica/laboratorial.
62;Servidor das Carreiras da Administração Pública Direta e Autárquica;Público / Gestão Pública;Concursado / Estatutário Federal/Estadual;🟣 Roxo Real;Portal da Transparência + LinkedIn;Previdência complementar fechada e gestão de ativos imobiliários.
63;Empresário e Produtor de Grandes Festivais e Shows (Produtoras PJ);Artes & Entretenimento;Empresário / Produtoras de Grande Porte PJ;🟠 Laranja;Abrace / QSA Receita Federal + LinkedIn / Notícias;Aproveitamento do PERSE (alíquota zero de tributos federais) e seguros de cancelamento.
64;Técnico Especialista em Automação Industrial e Engenharia de Manutenção;Tecnologia & Devs;Profissional Liberal / Corporativo Indústria;🔷 Índigo;CRT / CFT + LinkedIn Corporativo;Planejamento de reservas financeiras e previdência privada corporativa.
65;Técnico em Ciências Químicas e Análises Industriais (Laboratórios PJ);Ciências & Tecnologia;Profissional Liberal / Laboratórios Industriais PJ;🔷 Índigo;CRQ + QSA Receita Federal / LinkedIn;Investimentos diversificados e previdência complementar.
66;Dirigente Superior da Administração Pública (Cargos DAS / CNE / Secretários);Público / Alta Gestão;Cargo de Confiança / DAS (Público);🟣 Roxo Real;Diário Oficial da União/Estado + Portal da Transparência;Gestão patrimonial familiar com governança e holding patrimonial.
67;Psicólogo e Neuropsicólogo (Clínicas de Saúde Mental e Reabilitação PJ);Saúde & Medicina;Profissional Liberal / Clínicas de Psicologia PJ;🩷 Rosa / Pink;CFP / CRP + QSA Receita Federal / LinkedIn;Tributação PJ vs Carnê-Leão e previdência de alta acumulação.
68;Professor e Coordenador de Colégios de Alto Padrão;Educação & Pesquisa;Profissional Liberal / Colégios Privados;🟤 Verde Azulado (Teal);MEC / Portais Escolares + LinkedIn;Planejamento financeiro familiar e aposentadoria.
69;Técnico em Mineralogia e Geologia (Empresas de Mineração PJ);Ciências da Terra;Profissional Liberal / Mineração PJ;🟤 Verde Azulado (Teal);CREA / ANM + QSA Receita / LinkedIn;Gestão de bônus de mineração e previdência corporativa.
70;Técnico em Produção Agropecuária e Zootecnia (Fazendas Corporativas PJ);Agronegócio;Profissional Liberal / Fazendas PJ;🟢 Verde Esmeralda;CFTA / CRMV + QSA Receita / LinkedIn;Planejamento de caixa rural e previdência do produtor.
71;Fonoaudiólogo (Clínicas de Reabilitação e Audiologia PJ);Saúde & Medicina;Profissional Liberal / Clínicas de Fonoaudiologia PJ;🩷 Rosa / Pink;Crefono + QSA Receita Federal / LinkedIn;Otimização tributária de faturamento em clínicas de reabilitação.
72;Designer Industrial e Escultor (Estúdios de Design de Produto PJ);Design & Arquitetura;Profissional Liberal / Estúdios de Design PJ;🟠 Laranja;INPI / QSA Receita Federal + LinkedIn;Planejamento de royalties de patentes de design e patrimônio artístico.
73;Técnico em Eletro-Eletrônica e Automação (Empresas de Automação PJ);Tecnologia & Devs;Profissional Liberal / Automação PJ;🔷 Índigo;CRT / CFT + QSA Receita / LinkedIn;Investimentos em acumulação patrimonial.
74;Dirigente de Partido Político, Sindicato Patronal e Federação da Indústria;Executivos C-Level;Diretoria Institucional / Federação;🟡 Amarelo Dourado;Portais das Federações (Fiesp/CNA) + Diário Oficial;Gestão patrimonial familiar com governança e holding.
75;Pedagogo e Consultor Educacional (Consultorias de Ensino PJ);Educação & Pesquisa;Profissional Liberal / Consultorias Educacionais PJ;🟤 Verde Azulado (Teal);MEC / QSA Receita Federal + LinkedIn;Planejamento de aposentadoria e previdência privada.
76;Gerente e Especialista de Instituição Financeira (Bancos Privados e Públicos);Finanças & Consultoria;Empresário / Corporativo Bancário;🔵 Azul Marinho;Anbima / LinkedIn Corporativo;Otimização de bônus, previdência e diversificação fora do banco empregador.
